dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Maize (Europe),5,2016-2020,XGBoost,-0.16623035844935774,True
CY-Bench Wheat (Europe),3,2006-2008,Random Forest,0.1537165598963057,False
CY-Bench Wheat (Europe),3,2006-2008,Ridge,0.4161764877779476,False
CY-Bench Wheat (Europe),3,2006-2008,XGBoost,0.1660320992705961,False
CY-Bench Wheat (Europe),3,2007-2009,Random Forest,0.0929644756217676,False
CY-Bench Wheat (Europe),3,2007-2009,Ridge,0.3423101637729663,False
CY-Bench Wheat (Europe),3,2007-2009,XGBoost,-0.0724135512930417,False
CY-Bench Wheat (Europe),3,2008-2010,Random Forest,0.1977472404134146,False
CY-Bench Wheat (Europe),3,2008-2010,Ridge,0.1329161280351202,False
CY-Bench Wheat (Europe),3,2008-2010,XGBoost,0.1800785431510523,False
CY-Bench Wheat (Europe),3,2009-2011,Random Forest,0.1816018402629826,False
CY-Bench Wheat (Europe),3,2009-2011,Ridge,0.1658739206122967,False
CY-Bench Wheat (Europe),3,2009-2011,XGBoost,0.1373202205019958,False
CY-Bench Wheat (Europe),3,2010-2012,Random Forest,0.1841274167810667,False
CY-Bench Wheat (Europe),3,2010-2012,Ridge,0.226417506467116,False
CY-Bench Wheat (Europe),3,2010-2012,XGBoost,0.1543644302364043,False
CY-Bench Wheat (Europe),3,2011-2013,Random Forest,0.1784892702864193,False
CY-Bench Wheat (Europe),3,2011-2013,Ridge,0.3396963511365276,False
CY-Bench Wheat (Europe),3,2011-2013,XGBoost,0.0719495905286565,False
CY-Bench Wheat (Europe),3,2012-2014,Random Forest,0.2530758611652755,False
CY-Bench Wheat (Europe),3,2012-2014,Ridge,0.3240969406734462,False
CY-Bench Wheat (Europe),3,2012-2014,XGBoost,0.3241276584567222,False
CY-Bench Wheat (Europe),3,2013-2015,Random Forest,0.2731177358470534,False
CY-Bench Wheat (Europe),3,2013-2015,Ridge,0.3647852645253643,False
CY-Bench Wheat (Europe),3,2013-2015,XGBoost,0.2661626532206495,False
CY-Bench Wheat (Europe),3,2014-2016,Random Forest,0.2720903534551535,False
CY-Bench Wheat (Europe),3,2014-2016,Ridge,0.4543098912684145,False
CY-Bench Wheat (Europe),3,2014-2016,XGBoost,0.2443195788394972,False
CY-Bench Wheat (Europe),3,2015-2017,Random Forest,0.1718585788504458,True
CY-Bench Wheat (Europe),3,2015-2017,Ridge,0.0850840113780579,True
CY-Bench Wheat (Europe),3,2015-2017,XGBoost,0.0550326780950476,True
CY-Bench Wheat (Europe),3,2016-2018,Random Forest,-0.1453182076160008,True
CY-Bench Wheat (Europe),3,2016-2018,Ridge,-0.6175351339892343,True
CY-Bench Wheat (Europe),3,2016-2018,XGBoost,-0.4592978315178845,True
CY-Bench Wheat (Europe),3,2017-2019,Random Forest,-1.0492426360889513,True
CY-Bench Wheat (Europe),3,2017-2019,Ridge,-1.7563193432330897,True
CY-Bench Wheat (Europe),3,2017-2019,XGBoost,-1.2779233845003624,True
CY-Bench Wheat (Europe),3,2018-2020,Random Forest,0.0721565138077463,False
CY-Bench Wheat (Europe),3,2018-2020,Ridge,-0.0270231706880937,False
CY-Bench Wheat (Europe),3,2018-2020,XGBoost,-0.0903995952424332,False
CY-Bench Wheat (Europe),2,2006-2007,Random Forest,0.21572479841028558,False
CY-Bench Wheat (Europe),2,2006-2007,Ridge,0.3894897313157962,False
CY-Bench Wheat (Europe),2,2006-2007,XGBoost,0.12277314423537648,False
CY-Bench Wheat (Europe),2,2007-2008,Random Forest,-0.17887495912832796,False
CY-Bench Wheat (Europe),2,2007-2008,Ridge,0.29941008193754054,False
CY-Bench Wheat (Europe),2,2007-2008,XGBoost,-0.40495249539413175,False
CY-Bench Wheat (Europe),2,2008-2009,Random Forest,0.2413562160043123,False
CY-Bench Wheat (Europe),2,2008-2009,Ridge,0.3517737556275655,False
CY-Bench Wheat (Europe),2,2008-2009,XGBoost,0.08349326431709152,False
CY-Bench Wheat (Europe),2,2009-2010,Random Forest,-0.010384842847045217,False
CY-Bench Wheat (Europe),2,2009-2010,Ridge,-0.0574748300973739,False
CY-Bench Wheat (Europe),2,2009-2010,XGBoost,0.17280698205677916,False
CY-Bench Wheat (Europe),2,2010-2011,Random Forest,0.11279830836490419,False
CY-Bench Wheat (Europe),2,2010-2011,Ridge,0.09892691277732131,False
CY-Bench Wheat (Europe),2,2010-2011,XGBoost,0.16458194226014047,False
CY-Bench Wheat (Europe),2,2011-2012,Random Forest,0.14788033377442109,False
