dataset,window_length,window_label,has_anomaly,Random Forest,Ridge,XGBoost
CY-Bench Wheat (Europe),2,2010-2011,False,0.11279830836490419,0.09892691277732131,0.16458194226014047
CY-Bench Wheat (Europe),2,2011-2012,False,0.14788033377442109,0.3960902559691554,0.07930243208471377
CY-Bench Wheat (Europe),2,2012-2013,False,0.2792873721165307,0.32058820938218324,0.23532759600360564
CY-Bench Wheat (Europe),2,2013-2014,False,0.24609280239411982,0.270798954322693,0.19116135804683296
CY-Bench Wheat (Europe),2,2014-2015,False,0.23168605433739067,0.42182275275936226,0.38487343525576007
CY-Bench Wheat (Europe),2,2015-2016,False,0.33253068717364404,0.5226717936568182,0.15071208089399005
CY-Bench Wheat (Europe),2,2016-2017,True,0.054057044180454684,-0.16764049653096835,-0.09666193879569866
CY-Bench Wheat (Europe),2,2017-2018,True,-0.9158500670362292,-1.9462980337793185,-1.274494196926127
CY-Bench Wheat (Europe),2,2018-2019,False,-1.0463181276000737,-1.216088495575848,-1.2242084530688362
CY-Bench Wheat (Europe),2,2019-2020,False,0.25322063278865364,0.2820836181066653,0.2686754588993982
CY-Bench Wheat (Europe),3,2006-2008,False,0.1537165598963057,0.4161764877779476,0.1660320992705961
CY-Bench Wheat (Europe),3,2007-2009,False,0.0929644756217676,0.3423101637729663,-0.0724135512930417
CY-Bench Wheat (Europe),3,2008-2010,False,0.1977472404134146,0.1329161280351202,0.1800785431510523
CY-Bench Wheat (Europe),3,2009-2011,False,0.1816018402629826,0.1658739206122967,0.1373202205019958
CY-Bench Wheat (Europe),3,2010-2012,False,0.1841274167810667,0.226417506467116,0.1543644302364043
CY-Bench Wheat (Europe),3,2011-2013,False,0.1784892702864193,0.3396963511365276,0.0719495905286565
CY-Bench Wheat (Europe),3,2012-2014,False,0.2530758611652755,0.3240969406734462,0.3241276584567222
CY-Bench Wheat (Europe),3,2013-2015,False,0.2731177358470534,0.3647852645253643,0.2661626532206495
CY-Bench Wheat (Europe),3,2014-2016,False,0.2720903534551535,0.4543098912684145,0.2443195788394972
CY-Bench Wheat (Europe),3,2015-2017,True,0.1718585788504458,0.0850840113780579,0.0550326780950476
CY-Bench Wheat (Europe),3,2016-2018,True,-0.1453182076160008,-0.6175351339892343,-0.4592978315178845
CY-Bench Wheat (Europe),3,2017-2019,True,-1.0492426360889513,-1.7563193432330897,-1.2779233845003624
CY-Bench Wheat (Europe),3,2018-2020,False,0.0721565138077463,-0.0270231706880937,-0.0903995952424332
CY-Bench Wheat (Europe),5,2006-2010,False,0.16319452396327994,0.2152545772549859,0.060333270365110825
CY-Bench Wheat (Europe),5,2007-2011,False,0.11045930821632681,0.2507664364662324,0.14459578060973746
CY-Bench Wheat (Europe),5,2008-2012,False,0.1758118001588939,0.2891314460120725,0.18160569631039716
CY-Bench Wheat (Europe),5,2009-2013,False,0.17577974314568226,0.23396555818895456,0.21456362935897663
CY-Bench Wheat (Europe),5,2010-2014,False,0.1962475118028136,0.14621178542261218,0.18057321292495376
CY-Bench Wheat (Europe),5,2011-2015,False,0.2425593686983283,0.3774375780998798,0.15182068838743146
CY-Bench Wheat (Europe),5,2012-2016,False,0.3557697153893861,0.44886985913898014,0.23171191317062337
CY-Bench Wheat (Europe),5,2013-2017,True,0.27357387868639554,0.20330977004838666,0.11811655345204759
CY-Bench Wheat (Europe),5,2014-2018,True,0.08653700852237896,-0.07186167629588325,-0.14417276005040325
CY-Bench Wheat (Europe),5,2015-2019,True,-0.2621430236282532,-0.5027797375043382,-0.3675513895310913
CY-Bench Wheat (Europe),5,2016-2020,True,-0.011065645703840202,-0.29256210855466186,-0.16898715497204156
SustainBench Soybean,2,2010-2011,False,0.21217535866932782,0.22228148661576183,0.13904962577919397
SustainBench Soybean,2,2011-2012,False,0.19065797970896822,0.04769043212164955,0.15605584434725694
SustainBench Soybean,2,2012-2013,False,0.1772419580219402,0.0920158392639359,0.1261210698444387
SustainBench Soybean,2,2013-2014,True,0.19850855795136493,0.27229695373500745,0.13092657699742635
SustainBench Soybean,2,2014-2015,True,0.22477143855336434,0.23481572749313182,0.2821016424205834
SustainBench Soybean,2,2015-2016,True,-0.5609535071190433,-0.5992872920124509,-0.6131192323301291
SustainBench Soybean,3,2010-2012,False,0.1666215641960042,0.0735453186033799,0.1201201961570675
SustainBench Soybean,3,2011-2013,False,0.1933973885487399,0.1051638124799961,0.1178676970016143
SustainBench Soybean,3,2012-2014,True,0.3069295380896608,0.2742303834165114,0.2090729484535473
SustainBench Soybean,3,2013-2015,True,0.1749337549014708,0.2082490388284782,0.1095300492715712
SustainBench Soybean,3,2014-2016,True,-0.3241618154693011,-0.3262007698700662,-0.3348434597787021
SustainBench Soybean,5,2010-2014,True,0.22790520464549802,0.1924495053747786,0.1473746222884862
SustainBench Soybean,5,2011-2015,True,0.2505940465660825,0.23362668546564844,0.17420702308506178
SustainBench Soybean,5,2012-2016,True,0.024953812397088455,0.045355504113533174,-0.020428767776286993
