DATASET | WINDOW | MODEL | R2_ORIGINAL | R2_INTERPOLATED | N_TRAIN_ORIG | N_TRAIN_INTERP | N_TEST_ORIG | N_TEST_INTERP
CY-Bench Wheat (Europe) | 2015-2017 | Random Forest | 0.157 | 0.224 | 631.7 | 631.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2015-2017 | Ridge | 0.085 | 0.269 | 631.7 | 631.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2015-2017 | XGBoost | 0.055 | 0.118 | 631.7 | 631.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2016-2018 | Random Forest | -0.212 | -0.117 | 608.0 | 608.0 | 38.0 | 38.0
CY-Bench Wheat (Europe) | 2016-2018 | Ridge | -0.618 | -0.403 | 608.0 | 608.0 | 38.0 | 38.0
CY-Bench Wheat (Europe) | 2016-2018 | XGBoost | -0.459 | -0.375 | 608.0 | 608.0 | 38.0 | 38.0
CY-Bench Wheat (Europe) | 2017-2019 | Random Forest | -1.083 | -0.827 | 610.0 | 610.0 | 37.0 | 37.0
CY-Bench Wheat (Europe) | 2017-2019 | Ridge | -1.756 | -1.369 | 610.0 | 610.0 | 37.0 | 37.0
CY-Bench Wheat (Europe) | 2017-2019 | XGBoost | -1.278 | -1.012 | 610.0 | 610.0 | 37.0 | 37.0
CY-Bench Wheat (Europe) | 2018-2020 | Random Forest | 0.038 | 0.040 | 595.7 | 595.7 | 38.7 | 38.7
CY-Bench Wheat (Europe) | 2018-2020 | Ridge | -0.027 | -0.039 | 595.7 | 595.7 | 38.7 | 38.7
CY-Bench Wheat (Europe) | 2018-2020 | XGBoost | -0.090 | -0.057 | 595.7 | 595.7 | 38.7 | 38.7
CY-Bench Maize (Zambia) | 2006-2008 | Random Forest | -0.065 | 0.113 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2006-2008 | Ridge | -0.005 | 0.135 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2006-2008 | XGBoost | -0.262 | -0.101 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2007-2009 | Random Forest | -0.290 | -0.142 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2007-2009 | Ridge | -0.224 | -0.051 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2007-2009 | XGBoost | -0.634 | -0.189 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2008-2010 | Random Forest | 0.004 | 0.167 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2008-2010 | Ridge | 0.131 | 0.219 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2008-2010 | XGBoost | -0.246 | -0.230 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2009-2011 | Random Forest | 0.246 | 0.248 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2009-2011 | Ridge | 0.265 | 0.255 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2009-2011 | XGBoost | 0.135 | 0.120 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2010-2012 | Random Forest | 0.063 | 0.146 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2010-2012 | Ridge | 0.051 | 0.114 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2010-2012 | XGBoost | -0.073 | -0.092 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2011-2013 | Random Forest | 0.138 | 0.193 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2011-2013 | Ridge | 0.141 | 0.200 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2011-2013 | XGBoost | 0.054 | -0.019 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2012-2014 | Random Forest | -0.092 | 0.270 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2012-2014 | Ridge | 0.031 | 0.385 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2012-2014 | XGBoost | -0.161 | 0.140 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2013-2015 | Random Forest | 0.221 | 0.438 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2013-2015 | Ridge | 0.262 | 0.435 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2013-2015 | XGBoost | 0.111 | 0.353 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2014-2016 | Random Forest | 0.262 | 0.440 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2014-2016 | Ridge | 0.200 | 0.403 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2014-2016 | XGBoost | 0.255 | 0.372 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2015-2017 | Random Forest | 0.357 | 0.357 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2015-2017 | Ridge | 0.424 | 0.384 | 798.0 | 798.0 | 42.0 | 42.0
CY-Bench Maize (Zambia) | 2015-2017 | XGBoost | 0.282 | 0.225 | 798.0 | 798.0 | 42.0 | 42.0
